grad_# in Cohort,grad_% Dropped Out,grad_% Graduated,grad_% H.S. Equiv.,grad_% Non-Grad Completers,grad_% Permanently Excluded,grad_% Still in School,District Code,Year,sal_Average Salary,sal_FTE Count,sal_Salary Totals,mcas_MCAS_Avg. Scaled Score_ELA,mcas_MCAS_Avg. Scaled Score_MATH,mcas_MCAS_Avg. Scaled Score_SCI,mcas_MCAS_SGP_ELA,mcas_MCAS_SGP_MATH,expend_In-District Expenditures,expend_In-District Expenditures per Pupil,expend_Total Expenditures,expend_Total Expenditures per Pupil,expend_Total In-district FTEs,expend_Total Pupil FTEs,age_26-32 yrs (%),age_33-40 yrs (%),age_41-48 yrs (%),age_49-56 yrs (%),age_57-64 yrs (%),age_<26 yrs (% ),age_Over 64 yrs (%),prog_Career Technical Education (%),prog_English Learners (%),prog_General Education (%),prog_Special Education (%),demo_American Indian or Alaska Native,demo_Asian,demo_Black or African American,demo_Female,demo_Hispanic or Latino,demo_Male,"demo_Multi-Race, Not Hispanic or Latino",demo_Native Hawaiian or Other Pacific Islander,demo_Nonbinary,demo_White,sat_Math,sat_Reading,sat_Tests Taken,District Name
480,1.3,95.2,0.4,0.6,0,2.5,00090000,2013,"$80,529 ",433.6,"$34,917,335 ",,,,,,"$83,772,253.00 ","$13,453.50 ","$90,825,972.00 ","$14,376.66 ","6,226.80","6,317.60",14.6,18.4,29.2,17.2,15.8,2.7,2,0,2.3,83.1,14.6,0.2,13.2,1.8,49.5,4.6,50.5,2.4,0,,77.6,587,564,431,Andover
346,4.6,91,0.9,0.6,0.3,2.6,00100000,2013,"$61,069 ",336.6,"$20,555,845 ",,,,,,"$56,938,151.41 ","$11,489.43 ","$63,919,361.64 ","$12,545.75 ","4,955.70","5,094.90",28.5,24.7,18.4,12.3,9.6,4.4,2.3,0,1.3,88.5,10.2,0,10.7,3.2,50.2,5.1,49.8,3.8,0.1,,77,573,577,290,Arlington
165,2.4,93.9,0.6,0,0,3,06100000,2013,"$67,692 ",149.3,"$10,106,373 ",,,,,,"$26,596,624.48 ","$11,718.64 ","$28,745,755.28 ","$12,268.78 ","2,269.60","2,343.00",13,18.5,20.9,24.9,17.7,3.3,1.8,0,0.7,83.5,15.8,0.1,1,0.7,48.9,3.7,51.1,1.8,0,,92.8,528,518,125,Ashburnham-Westminster
181,4.4,93.4,0,0,0,2.2,00140000,2013,"$71,270 ",176.2,"$12,557,800 ",,,,,,"$30,748,130.49 ","$12,068.50 ","$33,858,444.25 ","$12,676.79 ","2,547.80","2,670.90",22.3,19.1,27.3,17.6,10.4,2.6,0.6,0,2,85.3,12.7,0.1,9.7,2.3,50.2,7.1,49.8,2.5,0,,78.2,569,530,158,Ashland
239,3.3,90.8,1.3,0,0.4,4.2,08010000,2013,"$76,591 ",98,"$7,505,894 ",,,,,,"$18,967,230.76 ","$18,220.20 ","$19,028,106.42 ","$18,252.38 ","1,041.00","1,042.50",19.6,23.1,15.2,20,17.3,4.7,0,44.6,1,44.9,9.5,0.4,0.4,1.5,42.4,13.1,57.6,2.5,0.1,,82.1,453,445,117,Assabet Valley Regional Vocational Technical
100,12,77,6,0,0,5,06150000,2013,"$64,906 ",105.2,"$6,828,105 ",,,,,,"$20,294,425.97 ","$14,086.50 ","$24,007,354.36 ","$13,526.79 ","1,440.70","1,774.80",8,17,20.3,34.5,13.8,2.3,4.1,0,0.5,80.2,19.3,0.1,0.6,2.2,47.1,5.8,52.9,2.8,0,,88.5,452,463,43,Athol-Royalston
409,6.6,87.5,1.5,0.2,0,4.2,00160000,2013,"$75,047 ",389,"$29,193,406 ",,,,,,"$69,059,403.00 ","$11,820.58 ","$76,348,600.00 ","$12,167.50 ","5,842.30","6,274.80",18.2,20.1,20.8,18.1,15.8,5.1,2,3.9,1.7,76.2,18.2,0.2,4.4,4.2,48.1,12.7,51.9,4.3,0.2,,74,518,502,270,Attleboro
196,4.1,92.3,1,0,0,2.6,00170000,2013,"$61,365 ",169.7,"$10,413,594 ",,,,,,"$28,659,921.89 ","$12,445.68 ","$30,813,569.17 ","$12,947.97 ","2,302.80","2,379.80",25.2,17.7,24.6,17.3,8.4,6.1,0.7,0,0,89.1,10.9,0.2,2.7,1,49.6,4.6,50.4,2.7,0,,88.8,507,489,161,Auburn
55,3.6,94.5,0,0,1.8,0,00180000,2013,"$61,671 ",63.5,"$3,916,117 ",,,,,,"$9,359,314.46 ","$12,492.41 ","$9,633,506.46 ","$12,754.54 ",749.2,755.3,27.5,15.9,26.2,9.1,14,7.2,0,0,0,85.2,14.8,0.5,4.6,24.7,49.7,5.8,50.3,3.5,0.1,,60.9,466,453,47,Avon
83,8.4,80.7,1.2,2.4,0,7.2,06160000,2013,"$67,257 ",118,"$7,936,357 ",,,,,,"$20,855,792.00 ","$12,622.28 ","$25,756,864.00 ","$13,123.85 ","1,652.30","1,962.60",21.4,20.7,20.8,17.4,14.1,5.1,0.6,0,1.7,82.3,16,0.5,2.1,5,47.5,10.8,52.5,4.3,0.3,,77,503,481,51,Ayer Shirley School District
435,7.6,85.3,2.5,0.7,0,3.9,00200000,2013,"$74,306 ",369.7,"$27,470,992 ",,,,,,"$67,862,311.63 ","$13,818.99 ","$78,492,009.31 ","$14,110.42 ","4,910.80","5,562.70",8.8,12.9,21.8,25,25.1,4.1,2.4,0,1.9,85.3,12.8,0.8,2.6,5.2,50.1,6.8,49.9,4.2,0.3,,80.1,518,506,271,Barnstable
244,2,92.2,1.6,0,0,4.1,00230000,2013,"$82,275 ",197.8,"$16,274,069 ",,,,,,"$36,495,932.40 ","$14,861.12 ","$43,405,002.10 ","$16,992.91 ","2,455.80","2,554.30",20.3,23.4,24.4,14.6,12.3,3.5,1.5,0,0,86.2,13.8,0.3,11.5,6.8,48.7,5,51.3,3.4,0.1,,72.9,579,567,198,Bedford
206,1.5,92.7,1.5,0.5,0,3.9,00240000,2013,"$61,741 ",169.5,"$10,465,021 ",,,,,,"$27,412,880.24 ","$11,073.23 ","$29,877,379.38 ","$11,449.47 ","2,475.60","2,609.50",15.6,18.6,23.2,16.4,21.3,4.4,0.5,0,0,84.4,15.6,0.2,2.3,1.2,49,3.3,51,2,0.2,,90.9,541,518,142,Belchertown
173,4,89.6,1.7,1.7,0,2.9,00250000,2013,"$67,385 ",173.9,"$11,718,195 ",,,,,,"$29,108,222.00 ","$11,960.48 ","$31,870,914.00 ","$12,454.44 ","2,433.70","2,559.00",15.6,19.8,20.1,19.7,16.2,4.3,4.4,0,0,91.9,8.1,0.2,3.6,1.3,48.2,3.1,51.8,1.1,0,,90.8,495,501,123,Bellingham
263,0.4,96.2,0.4,0,0,3,00260000,2013,"$79,244 ",242.3,"$19,200,783 ",,,,,,"$46,463,434.57 ","$11,479.26 ","$52,172,156.85 ","$12,659.15 ","4,047.60","4,121.30",33.5,27.6,15.1,12.2,7.2,3.6,0.8,0,2.2,88.6,9.2,0,14.7,3.9,50.6,3.7,49.4,5.1,0.1,,72.3,602,586,251,Belmont
25,12,76,0,0,0,12,04140000,2013,,,,,,,,,,,,,,,20.6,26.6,12.4,16.5,5.4,18.6,0,0,0,88,12,0.7,1.6,7.9,53.4,4.3,46.6,3.3,0,,82.3,480,503,23,Berkshire Arts and Technology Charter Public (District)
125,1.6,92,0.8,0,0,5.6,06180000,2013,"$69,236 ",113.9,"$7,885,962 ",,,,,,"$22,329,280.49 ","$16,370.44 ","$23,752,484.65 ","$16,105.56 ","1,364.00","1,474.80",15.4,19,28.6,20.6,16.3,0,0,4,0.8,82.9,12.2,0,1.2,1.6,47.5,5.8,52.5,3.1,0.1,,88.1,525,541,87,Berkshire Hills
63,7.9,84.1,1.6,0,0,6.3,06200000,2013,"$66,487 ",34.8,"$2,313,757 ",,,,,,"$5,774,725.93 ","$13,562.06 ","$7,736,295.05 ","$15,039.45 ",425.8,514.4,18.9,19,21.5,23.2,13.9,3.5,0,0,0.6,96,3.4,0,1.2,0.7,52.6,0.9,47.4,2.8,0,,94.4,538,543,50,Berlin-Boylston
333,5.4,88.6,1.5,0,0,4.5,00300000,2013,"$59,716 ",296.2,"$17,687,744 ",,,,,,"$49,874,971.27 ","$11,536.59 ","$57,702,932.27 ","$12,631.16 ","4,323.20","4,568.30",17.2,23.2,16.8,19.4,18.7,3.5,1.1,0,1,84.4,14.6,0,2.2,2.6,49.1,8.4,50.9,2.4,0.1,,84.2,520,505,208,Beverly
368,3.8,86.1,3.3,0,0,6.8,00310000,2013,"$67,940 ",391.4,"$26,591,667 ",,,,,,"$70,212,998.00 ","$12,817.27 ","$78,862,269.00 ","$13,608.67 ","5,478.00","5,795.00",24.7,23,19.9,18.5,8.4,4.3,1.2,0,0.5,87.8,11.6,0.1,4.5,2.4,48.9,3.3,51.1,1.9,0.2,,87.6,537,500,257,Billerica
275,1.5,97.8,0.4,0,0,0.4,08050000,2013,"$71,974 ",95,"$6,837,496 ",,,,,,"$20,521,514.10 ","$17,712.34 ","$20,521,514.10 ","$17,712.34 ","1,158.60","1,158.60",9.7,19.1,23.8,25.5,13.8,5.8,2.3,49.5,0.9,47.6,2,0,0.8,0.9,48.6,2.3,51.4,2.2,0.1,,93.8,489,483,196,Blackstone Valley Regional Vocational Technical
149,5.4,90.6,0.7,1.3,0.7,1.3,06220000,2013,"$63,467 ",134.9,"$8,561,674 ",,,,,,"$20,548,506.17 ","$10,973.84 ","$22,932,510.17 ","$11,640.28 ","1,872.50","1,970.10",13.9,16.6,23.7,23.9,19.9,2.1,0,0,0.4,88.5,11.1,0.2,1,1.1,50.4,3.6,49.6,2.6,0,,91.6,512,503,93,Blackstone-Millville
188,1.1,97.3,0,0,0,1.6,08060000,2013,"$78,604 ",82.9,"$6,516,293 ",,,,,,"$17,465,032.00 ","$21,612.46 ","$17,470,032.00 ","$21,591.93 ",808.1,809.1,34.2,16.1,11,14.3,18.6,5.8,0,49.7,0.2,42.3,7.8,0.6,1.2,21.6,43,6.6,57,3.3,0.2,,66.4,455,441,104,Blue Hills Regional Vocational Technical
"4,486",14.7,65.9,1.6,0.8,0.1,16.9,00350000,2013,"$76,906 ","4,591.60","$353,122,118 ",,,,,,"$1,044,069,138.19 ","$18,446.74 ","$1,178,270,619.38 ","$18,466.00 ","56,599.10","63,807.60",23,24.8,16.5,17.1,12.1,5,1.5,0.1,2.2,63.9,33.9,0.3,8.6,35.6,48.1,39.9,51.9,2.2,0.2,,13.2,468,434,"2,484",Boston
30,10,76.7,3.3,0,0,10,04490000,2013,,,,,,,,,,,,,,,43.8,20.1,4.4,1.8,1.8,28.1,0,0,0,83.9,16.1,0.2,1.1,25.3,52.9,16.4,47.1,2.3,0,,54.7,536,477,35,Boston Collegiate Charter (District)
192,25.5,16.7,6.3,0,0,51.6,04240000,2013,,,,,,,,,,,,,,,35.7,37.3,12.4,2.1,4.1,8.3,0,3.6,0,96.4,0,0.3,1.7,50.7,56.3,34.5,43.7,2.8,0.8,,9.2,419,447,27,Boston Day and Evening Academy Charter (District)
85,4.7,69.4,3.5,0,0,22.4,04110000,2013,,,,,,,,,,,,,,,46.8,32.1,9.2,4.9,0,7,0,1.3,0.5,83.8,14.4,0,3.9,57.5,43.5,25.3,56.5,0,0,,13.3,406,376,36,Boston Green Academy Horace Mann Charter School (District)
39,5.1,92.3,0,0,0,2.6,04160000,2013,,,,,,,,,,,,,,,38.1,12.5,0,0,0,49.3,0,0,3,84.8,12.2,1.1,0,65.5,53.2,26,46.8,2.7,0.3,,4.4,487,413,40,Boston Preparatory Charter Public (District)
148,3.4,91.2,2,0.7,0,2.7,00360000,2013,"$78,189 ",143.2,"$11,196,722 ",,,,,,"$29,075,345.43 ","$13,910.98 ","$32,217,768.43 ","$14,310.74 ","2,090.10","2,251.30",14.8,21.3,22.2,21.2,17.7,0.8,2.1,0,0,90.2,9.8,0.3,1.3,1.1,48.9,3.3,51.1,5.2,0,,88.7,489,496,110,Bourne
396,4,93.4,0.5,0.5,0,1.5,00400000,2013,"$70,171 ",393.1,"$27,584,376 ",,,,,,"$66,065,422.18 ","$11,766.30 ","$72,455,726.93 ","$12,659.56 ","5,614.80","5,723.40",32.4,17.1,18.6,11.3,11.7,6.9,2,0,1.8,77.6,20.6,0.1,10.4,5,48.6,3.8,51.4,1.1,0,,79.6,534,507,321,Braintree
443,5.9,88.3,0,1.1,0.2,4.5,06250000,2013,"$76,013 ",325.2,"$24,719,425 ",,,,,,"$60,628,507.00 ","$11,137.98 ","$67,443,114.00 ","$11,885.72 ","5,443.40","5,674.30",20,15.8,20.3,20.1,10.8,12.3,0.7,0,0.6,90.6,8.9,0.1,1.1,3.1,47.7,2.4,52.3,3.4,0,,89.9,524,505,304,Bridgewater-Raynham
105,1.9,98.1,0,0,0,0,09100000,2013,"$65,006 ",33.4,"$2,171,199 ",,,,,,"$8,620,469.81 ","$19,255.01 ","$8,620,469.81 ","$19,255.01 ",447.7,447.7,24.9,18.2,19.3,9.6,21.5,6.4,0,44.2,0,49.8,6,0,0.9,1.6,71.2,3.3,28.8,1.3,0,,92.9,493,490,72,Bristol County Agricultural
105,1.9,98.1,0,0,0,0,09100000,2013,"$62,312 ",48.7,"$3,034,610 ",,,,,,"$8,620,469.81 ","$19,255.01 ","$8,620,469.81 ","$19,255.01 ",447.7,447.7,24.9,18.2,19.3,9.6,21.5,6.4,0,44.2,0,49.8,6,0,0.9,1.6,71.2,3.3,28.8,1.3,0,,92.9,493,490,72,Bristol County Agricultural
289,1,98.6,0,0,0,0.3,08100000,2013,"$77,641 ",99.5,"$7,725,237 ",,,,,,"$21,581,091.69 ","$16,962.27 ","$21,609,338.69 ","$16,931.24 ","1,272.30","1,276.30",23.5,26.1,25.6,9.6,13.7,0,1.6,42.7,0.3,48.5,8.4,0.4,0.3,4.2,44.5,5,55.5,2.7,0.1,,87.4,461,461,162,Bristol-Plymouth Regional Vocational Technical
"1,203",9.6,73.8,0.9,2,0.1,13.6,00440000,2013,"$82,841 ","1,064.50","$88,183,815 ",,,,,,"$203,751,690.19 ","$12,365.82 ","$222,117,401.10 ","$12,990.84 ","16,477.00","17,098.00",19.4,22.2,20.4,19.5,12.2,5.2,1.2,0.1,3.9,81.9,14.1,0.4,2.5,54,48.6,14.4,51.4,3.8,0.2,,24.7,440,424,590,Brockton
440,2,92.3,1.6,0.2,0,3.9,00460000,2013,"$82,488 ",557.2,"$45,962,475 ",,,,,,"$115,095,344.52 ","$16,272.72 ","$121,070,102.52 ","$16,924.12 ","7,072.90","7,153.70",31.6,24.8,18.1,12.1,8.8,3,1.6,1.4,3.7,94.9,0,0,18.1,6.4,49.8,9.9,50.2,8.2,0,,57.4,609,591,379,Brookline
274,3.3,93.8,0.7,0.4,0,1.8,00480000,2013,"$85,901 ",299.7,"$25,744,653 ",,,,,,"$54,353,978.07 ","$15,192.44 ","$61,154,177.07 ","$16,642.86 ","3,577.70","3,674.50",29.3,21.1,15.1,15.7,12.5,4.4,1.8,0,1.3,86.5,12.2,0.6,13.3,6.2,48.1,3.7,51.9,3.1,0.1,,73.1,534,520,239,Burlington
457,5.7,82.5,0,0.4,0,11.4,00490000,2013,"$80,725 ",564.3,"$45,552,942 ",,,,,,"$160,577,528.41 ","$25,953.18 ","$185,893,277.67 ","$27,473.81 ","6,187.20","6,766.20",27.4,26.4,17.1,13.2,9.8,4.7,1.4,4,2.6,74.6,18.8,0.5,11.8,29.7,49.5,13.7,50.5,5.4,0.2,,38.5,502,498,330,Cambridge
246,4.1,91.5,0,0,0.4,4.1,00500000,2013,"$74,259 ",229.6,"$17,049,969 ",,,,,,"$40,795,399.00 ","$12,740.20 ","$45,015,349.00 ","$13,738.85 ","3,202.10","3,276.50",17.4,24.2,23.2,13.4,16.2,3.5,2.1,0.6,0.6,84.5,14.3,0.1,8.1,9.1,49.7,3.6,50.3,3.6,0,,75.4,541,515,211,Canton
158,2.5,95.6,0.6,0.6,0,0.6,08150000,2013,"$75,368 ",66.6,"$5,019,518 ",,,,,,"$14,837,953.48 ","$22,876.89 ","$14,837,953.48 ","$22,876.89 ",648.6,648.6,8.2,9,21.1,32.5,19.5,4.5,5.2,49.4,0.3,43.8,6.5,1.2,0.8,4.9,40.1,8.7,59.9,4.4,0,,80,460,455,47,Cape Cod Regional Vocational Technical
149,10.7,83.9,1.3,0,2.7,1.3,00520000,2013,"$67,595 ",126.8,"$8,570,985 ",,,,,,"$21,790,571.25 ","$12,122.04 ","$23,746,560.00 ","$12,903.64 ","1,797.60","1,840.30",9.9,17.7,21.3,24.6,18.6,6.2,1.8,0,0,94.4,5.6,0.1,0,2,49.2,0.5,50.8,0.4,0.3,,96.7,509,481,89,Carver
127,4.7,89.8,2.4,0,0,3.1,06350000,2013,"$65,142 ",142,"$9,250,182 ",,,,,,"$25,822,024.00 ","$14,620.93 ","$27,166,242.00 ","$14,143.19 ","1,766.10","1,920.80",24.7,16.8,21.6,17.9,12.1,3.3,3.7,1.3,0,89.9,8.8,0.1,1,0.7,49,2.4,51,2.7,0,,93.2,526,529,86,Central Berkshire
404,2,93.3,1,0.7,0,3,00560000,2013,"$69,345 ",344.4,"$23,882,403 ",,,,,,"$56,751,689.62 ","$11,155.56 ","$64,950,348.48 ","$12,157.52 ","5,087.30","5,342.40",17.5,22.2,22.1,18.8,14.4,3.1,1.9,0.7,0,86.9,12.4,0.2,11.1,3.4,49,3,51,1.5,0.1,,80.8,562,539,338,Chelmsford
328,16.8,64.3,3.4,1.5,0,14,00570000,2013,"$66,727 ",411.6,"$27,464,646 ",,,,,,"$73,922,104.17 ","$12,604.80 ","$85,845,124.50 ","$13,459.99 ","5,864.60","6,377.80",26.1,18.4,12.1,15,12.4,13.9,2.1,0,8.2,79.6,12.2,0.2,2,7.7,48.5,81.3,51.5,0.8,0,,7.9,454,423,129,Chelsea
683,12.4,72.6,4.2,1.9,0,8.8,00610000,2013,"$63,073 ",615.2,"$38,802,720 ",,,,,,"$98,619,442.38 ","$13,036.11 ","$103,576,736.38 ","$13,192.98 ","7,565.10","7,850.90",26.8,21.9,17.6,14.7,11.3,6.5,1.1,4.4,2.6,77.2,15.9,0.2,1.7,3.1,47.7,29.9,52.3,2.6,0.2,,62.3,495,483,251,Chicopee
58,3.4,53.4,1.7,0,5.2,36.2,04370000,2013,,,,,,,,,,,,,,,55.8,13.6,0,0,0,30.6,0,0,3.2,80.7,16.1,0,1.7,67.8,54.5,28.8,45.5,0.7,0,,1,447,404,47,City On A Hill Charter Public (District)
139,2.2,88.5,5,1.4,0,2.9,00640000,2013,"$68,346 ",124.8,"$8,529,584 ",,,,,,"$20,639,189.21 ","$10,841.62 ","$26,158,758.74 ","$11,765.21 ","1,903.70","2,223.40",11.2,17.2,16.1,21.9,27.7,2.7,3.2,0,5,85.1,9.9,0.1,1.8,4.6,46.5,20.2,53.5,0.8,0,,72.4,501,494,96,Clinton
27,14.8,70.4,0,0,0,14.8,04380000,2013,,,,,,,,,,,,,,,72.7,7.7,0,0,0,19.6,0,0,6.7,93.3,0,0.7,1.4,82.3,54.4,12.9,45.6,0,0,,2.7,439,392,23,Codman Academy Charter Public (District)
92,1.1,94.6,0,0,0,4.3,00650000,2013,"$74,714 ",110.5,"$8,255,931 ",,,,,,"$19,980,769.90 ","$12,607.75 ","$21,798,667.77 ","$13,478.43 ","1,584.80","1,617.30",16.6,14.8,30.8,21,13.4,2,1.6,0,0,88.1,11.9,0.1,1.5,3.3,48.5,0.6,51.5,0.3,0,,94.3,567,547,83,Cohasset
34,0,88.2,0,0,0,11.8,04360000,2013,,,,,,,,,,,,,,,47.1,13.3,0.2,0.5,4.8,34.2,0,0,2.9,97.1,0,1.1,2.6,64.8,52.1,25.1,47.9,2.9,0.3,,3.2,501,455,31,Community Charter School of Cambridge (District)
314,1.3,96.5,0,0,0,2.2,06400000,2013,"$95,947 ",90.6,"$8,692,801 ",,,,,,"$22,030,506.56 ","$18,103.79 ","$26,261,922.78 ","$20,750.57 ","1,216.90","1,265.60",13.3,26.2,32.3,20.1,7.1,0,0.9,0,0,97.6,2.4,0.2,8.3,5.6,52.6,3.7,47.4,1.8,0,,80.4,617,598,281,Concord-Carlisle
272,3.7,88.6,1.5,0,0,6.3,00710000,2013,"$72,716 ",265.3,"$19,291,469 ",,,,,,"$44,060,603.83 ","$12,259.83 ","$49,223,310.83 ","$13,231.72 ","3,593.90","3,720.10",21.3,27.5,16.5,17.4,9.7,6,1.7,0,0,92.3,7.7,0.2,2.4,1.4,49.3,5.3,50.7,1.9,0.1,,88.7,518,513,220,Danvers
250,2,94.8,0,0.8,0.8,1.6,00720000,2013,"$68,091 ",281.6,"$19,174,381 ",,,,,,"$41,434,699.50 ","$11,064.01 ","$44,295,296.93 ","$11,671.09 ","3,745.00","3,795.30",14,19.9,31,21.2,9.4,3.5,1.1,0,1.1,85.6,13.3,0.2,3.2,2.1,48.3,1.7,51.7,1.9,0.1,,90.8,522,500,204,Dartmouth
205,4.9,89.8,1,0,0,4.4,00730000,2013,"$74,972 ",224.9,"$16,861,192 ",,,,,,"$42,049,806.25 ","$15,040.35 ","$47,721,607.12 ","$16,433.63 ","2,795.80","2,903.90",30.2,19.8,16.4,13.4,13.5,5.2,1.5,0,0.9,87.4,11.7,0.4,3,6.8,47.5,10.3,52.5,2.8,0,,76.7,507,493,171,Dedham
216,9.3,88,0,0,0,2.8,06450000,2013,"$66,581 ",294,"$19,574,748 ",,,,,,"$48,544,638.98 ","$16,182.09 ","$55,344,439.23 ","$15,531.79 ","2,999.90","3,563.30",12.5,18.8,20.1,26.3,18.4,1.6,2.2,0,2.4,86.6,11,1.9,2.1,6.3,48.5,7.7,51.5,5.7,0.1,,76.3,495,503,153,Dennis-Yarmouth
246,2,95.1,0,0.4,0,2.4,06500000,2013,"$66,406 ",222.1,"$14,748,842 ",,,,,,"$35,342,915.72 ","$11,704.11 ","$38,470,525.54 ","$12,447.59 ","3,019.70","3,090.60",20.1,18.8,22.1,19.1,12.5,6.1,1.2,4.8,0.7,83.3,11.3,0,1.1,0.8,47.3,3,52.7,2.6,0,,92.5,529,532,175,Dighton-Rehoboth
101,8.9,85.1,3,0,0,3,00770000,2013,"$65,321 ",105,"$6,858,692 ",,,,,,"$16,464,086.82 ","$10,009.17 ","$17,399,196.01 ","$10,203.01 ","1,644.90","1,705.30",22.1,27.6,19.4,9.6,17.3,3,1.1,0,0,93,7,0.1,1.4,0.2,49.5,1.8,50.5,1.6,0.1,,94.8,506,510,67,Douglas
165,0,96.4,0.6,0,0,3,06550000,2013,"$89,600 ",97.1,"$8,700,196 ",,,,,,"$19,713,801.00 ","$17,035.78 ","$20,451,642.00 ","$17,122.94 ","1,157.20","1,194.40",19,22.2,24.5,14.7,13.3,5.3,0.9,0,0.4,90.6,9,0,6.1,2.1,50.6,2,49.4,2,0,,87.7,618,608,150,Dover-Sherborn
269,8.2,82.2,2.6,0.4,0,6.7,00790000,2013,"$66,937 ",216,"$14,458,469 ",,,,,,"$36,693,790.76 ","$9,558.16 ","$41,782,162.76 ","$10,395.12 ","3,839.00","4,019.40",20,22.2,19,22.6,10.6,4.5,1.1,0,0.7,86,13.3,0,5,3.5,48.4,6.1,51.6,1.4,0.1,,84,494,492,173,Dracut
